OID,Shape_Length,Shape_Area,x_z,y_z,dy_conf
192,4000,1000000,116.3510443,39.86972837,1.3
193,4000,1000000,116.3627365,39.86979319,1.4
194,4000,1000000,116.3744288,39.86985684,1.3
195,4000,1000000,116.3861211,39.86991932,1.4
196,4000,1000000,116.3978134,39.86998061,1.5
197,4000,1000000,116.4095057,39.87004072,1.4
198,4000,1000000,116.4211981,39.87009966,1.4
199,4000,1000000,116.4328905,39.87015742,1.5
200,4000,1000000,116.444583,39.870214,1.5
201,4000,1000000,116.4562755,39.8702694,1.3
202,4000,1000000,116.467968,39.87032362,1.3
203,4000,1000000,116.4796605,39.87037666,1.2
204,4000,1000000,116.4913531,39.87042852,0.0
205,4000,1000000,116.5030457,39.87047921,1.3
206,4000,1000000,116.5147384,39.87052872,1.3
207,4000,1000000,116.5264311,39.87057705,0.0
208,4000,1000000,116.5381238,39.8706242,1.0
209,4000,1000000,116.5498165,39.87067017,1.3
210,4000,1000000,116.5615092,39.87071496,1.5
211,4000,1000000,116.222331,39.87794664,0.0
212,4000,1000000,116.2340242,39.87802446,1.5
213,4000,1000000,116.2457176,39.87810109,0.0
214,4000,1000000,116.2574109,39.87817655,1.0
215,4000,1000000,116.2691043,39.87825083,1.0
216,4000,1000000,116.2807978,39.87832393,1.2
217,4000,1000000,116.2924913,39.87839586,1.4
218,4000,1000000,116.3041848,39.8784666,1.5
219,4000,1000000,116.3158784,39.87853616,1.4
220,4000,1000000,116.327572,39.87860455,1.2
221,4000,1000000,116.3392657,39.87867176,1.4
222,4000,1000000,116.3509594,39.87873778,1.4
223,4000,1000000,116.3626531,39.87880263,1.3
224,4000,1000000,116.3743469,39.8788663,1.4
225,4000,1000000,116.3860407,39.8789288,1.3
226,4000,1000000,116.3977346,39.87899011,1.3
227,4000,1000000,116.4094285,39.87905024,1.4
228,4000,1000000,116.4211224,39.8791092,1.3
229,4000,1000000,116.4328163,39.87916697,1.4
230,4000,1000000,116.4445103,39.87922357,1.3
231,4000,1000000,116.4562043,39.87927899,1.4
232,4000,1000000,116.4678984,39.87933323,1.2
233,4000,1000000,116.4795925,39.87938629,1.4
234,4000,1000000,116.4912866,39.87943817,1.2
235,4000,1000000,116.5029807,39.87948887,1.0
236,4000,1000000,116.5146749,39.87953839,0.0
237,4000,1000000,116.5263691,39.87958674,1.4
238,4000,1000000,116.5380633,39.8796339,0.0
239,4000,1000000,116.5497576,39.87967989,0.0
240,4000,1000000,116.5614518,39.87972469,0.0
241,4000,1000000,116.2222292,39.8869558,0.0
242,4000,1000000,116.233924,39.88703364,0.0
243,4000,1000000,116.2456188,39.8871103,1.0
244,4000,1000000,116.2573137,39.88718578,1.0
245,4000,1000000,116.2690087,39.88726008,1.2
246,4000,1000000,116.2807037,39.88733321,1.4
247,4000,1000000,116.2923987,39.88740515,1.4
248,4000,1000000,116.3040938,39.88747592,1.4
249,4000,1000000,116.3157889,39.88754551,1.4
250,4000,1000000,116.327484,39.88761391,1.5
251,4000,1000000,116.3391792,39.88768114,1.3
252,4000,1000000,116.3508744,39.88774719,1.3
253,4000,1000000,116.3625697,39.88781206,1.4
